id,opponentname,opponentflag,opponentscore,algeriascore,date,coachname,event
17,Mauritania,https://gxdpkrwfrlqnxjiqxrnh.supabase.co/storage/v1/object/public/algvs/countries-flags/image_207.png,0,1,2013-05-25 00:00:00,Vahid Halilhodzic,International Friendly
18,Burkina Faso,https://gxdpkrwfrlqnxjiqxrnh.supabase.co/storage/v1/object/public/algvs/countries-flags/image_166.png,0,2,2013-06-02 00:00:00,Vahid Halilhodzic,International Friendly
19,Benin,https://gxdpkrwfrlqnxjiqxrnh.supabase.co/storage/v1/object/public/algvs/countries-flags/image_170.png,1,3,2013-06-09 00:00:00,Vahid Halilhodzic,FIFA World Cup Qualifying - CAF
20,Rwanda,https://gxdpkrwfrlqnxjiqxrnh.supabase.co/storage/v1/object/public/algvs/countries-flags/image_138.png,0,1,2013-06-16 00:00:00,Vahid Halilhodzic,FIFA World Cup Qualifying - CAF
21,Guinea,https://gxdpkrwfrlqnxjiqxrnh.supabase.co/storage/v1/object/public/algvs/countries-flags/image_225.png,2,2,2013-08-14 00:00:00,Vahid Halilhodzic,International Friendly
22,Mali,https://gxdpkrwfrlqnxjiqxrnh.supabase.co/storage/v1/object/public/algvs/countries-flags/image_159.png,0,1,2013-09-10 00:00:00,Vahid Halilhodzic,FIFA World Cup Qualifying - CAF
23,Burkina Faso,https://gxdpkrwfrlqnxjiqxrnh.supabase.co/storage/v1/object/public/algvs/countries-flags/image_166.png,3,2,2013-10-12 00:00:00,Vahid Halilhodzic,FIFA World Cup Qualifying - CAF
24,Burkina Faso,https://gxdpkrwfrlqnxjiqxrnh.supabase.co/storage/v1/object/public/algvs/countries-flags/image_166.png,0,1,2013-11-19 00:00:00,Vahid Halilhodzic,FIFA World Cup Qualifying - CAF
25,Slovenia,https://gxdpkrwfrlqnxjiqxrnh.supabase.co/storage/v1/object/public/algvs/countries-flags/image_66.png,0,1,2014-03-05 00:00:00,Vahid Halilhodzic,International Friendly
26,Armenia,https://gxdpkrwfrlqnxjiqxrnh.supabase.co/storage/v1/object/public/algvs/countries-flags/image_70.png,1,3,2014-05-31 00:00:00,Vahid Halilhodzic,International Friendly
